parent,item_code,qty,rate,uom
ACC-SINV-2025-00098,SVC-RETAINER,1,9600.0,Month
ACC-SINV-2025-00099,SVC-RETAINER,1,9600.0,Month
ACC-SINV-2025-00100,SVC-RETAINER,1,4800.0,Month
ACC-SINV-2025-00101,SVC-RETAINER,1,4800.0,Month
ACC-SINV-2025-00102,SVC-RETAINER,1,4800.0,Month
ACC-SINV-2025-00103,SVC-RETAINER,1,13200.0,Month
ACC-SINV-2025-00104,SVC-RETAINER,1,13200.0,Month
ACC-SINV-2025-00105,SVC-RETAINER,1,13200.0,Month
ACC-SINV-2025-00106,SVC-RETAINER,1,8140.0,Month
ACC-SINV-2025-00107,SVC-RETAINER,1,8470.0,Month
ACC-SINV-2025-00108,SVC-RETAINER,1,9350.0,Month
ACC-SINV-2025-00109,SVC-RETAINER,1,7400.0,Month
ACC-SINV-2025-00110,SVC-RETAINER,1,7400.0,Month
ACC-SINV-2025-00111,SVC-RETAINER,1,7650.0,Month
ACC-SINV-2025-00112,SVC-RETAINER,1,16900.0,Month
ACC-SINV-2025-00113,SVC-RETAINER,1,8700.0,Month
ACC-SINV-2025-00115,SVC-RETAINER,1,9100.0,Month
ACC-SINV-2025-00117,SVC-RETAINER,1,10800.0,Month
ACC-SINV-2025-00118,SVC-RETAINER,1,10800.0,Month
ACC-SINV-2025-00119,SVC-RETAINER,1,10800.0,Month
ACC-SINV-2025-00120,SVC-RETAINER,1,6000.0,Month
ACC-SINV-2025-00121,SVC-RETAINER,1,6000.0,Month
ACC-SINV-2025-00122,SVC-RETAINER,1,6000.0,Month
ACC-SINV-2025-00123,SVC-RETAINER,1,9500.0,Month
ACC-SINV-2025-00124,SVC-RETAINER,1,9750.0,Month
ACC-SINV-2025-00125,SVC-RETAINER,1,10000.0,Month
ACC-SINV-2025-00126,SVC-RETAINER,1,15533.0,Month
ACC-SINV-2025-00127,SVC-RETAINER,1,15533.0,Month
ACC-SINV-2025-00128,SVC-RETAINER,1,15534.0,Month
ACC-SINV-2025-00129,SVC-RETAINER,1,14600.0,Month
ACC-SINV-2025-00130,SVC-RETAINER,1,14600.0,Month
ACC-SINV-2025-00131,SVC-RETAINER,1,14600.0,Month
ACC-SINV-2025-00132,SVC-RETAINER,1,8200.0,Month
ACC-SINV-2025-00133,SVC-RETAINER,1,8200.0,Month
ACC-SINV-2025-00134,SVC-RETAINER,1,8700.0,Month
ACC-SINV-2025-00135,SVC-RETAINER,1,11100.0,Month
ACC-SINV-2025-00136,SVC-RETAINER,1,11100.0,Month
ACC-SINV-2025-00137,SVC-RETAINER,1,11100.0,Month
ACC-SINV-2025-00138,SVC-RETAINER,1,9900.0,Month
ACC-SINV-2025-00140,SVC-RETAINER,1,10200.0,Month
ACC-SINV-2025-00142,SVC-RETAINER,1,10950.0,Month
ACC-SINV-2025-00144,SVC-RETAINER,1,62300.0,Month
ACC-SINV-2025-00145,SVC-RETAINER,1,61100.0,Month
ACC-SINV-2025-00146,SVC-RETAINER,1,64000.0,Month
