customer_name,customer_type,customer_group,territory,default_currency,email_id,mobile_no,website,industry,market_segment,account_manager,customer_details,tax_id,lead_name,payment_terms,language,customer_primary_contact,customer_primary_address
Ellstone Diagnostics,Company,Life Sciences,United States,USD,,,,Veterinary diagnostics,,,,,,,,,
Ellsworth Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Elmridge Bioinformatics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Elmscroft Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Elmswood Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Elmswood Reagent Labs,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Escombe Reagents,Company,Life Sciences,United States,USD,,,,,,James Fitzpatrick,,,,,,,
Everleigh Bioinstruments,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Fairbrook Labs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Fairhaven Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Fairview Reagents,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Farnham Biotech,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Farnsley Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Farthingale Instruments,Company,Life Sciences,United States,USD,,,,,,Colin Ashworth,,,,,,,
Fenchurch Molecular,Company,Life Sciences,United States,USD,,,,,,Priscilla Choi,,,,,,,
Fenland Bioanalytics,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Fenlow Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Fenwick Genomics,Company,Life Sciences,United States,USD,,,,,,Sofia Bergen,Inherited — Bramwell,,,,,,
Ferndown Bioscience,Company,Life Sciences,United States,USD,,,,,,Reid Alderman,,,,,,,
Fernhurst Instruments,Company,Life Sciences,United States,USD,,,,,,Deirdre O'Sullivan,,,,,,,
Fircrest Assay,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Foxhaven Genomic Analytics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Girton Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Glasson Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Glenmore Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics,,,Thornfield native,,,,,,
Gorseland Bioanalytical,Company,Life Sciences,United States,USD,,,,,,Terrance Bloom,,,,,,,
Grantham Molecular Sciences,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Grantham Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Halberd Genomics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Halbrook BioLabs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Halewood Genomic Services,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Hallowfield Bioscience,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Halstead Analytical,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Halstead Bioscience,Company,Life Sciences,United States,USD,,,,,,Priscilla Choi,,,,,,,
Halston Molecular Diagnostics,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Halyard Immunology,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Harborview Genomics,Company,Life Sciences,United States,USD,,,,,,James Fitzpatrick,,,,,,,
Harewood Genomic Sciences,Company,Life Sciences,United States,USD,,,,,,Reid Alderman,Thornfield native,,,,,,
Hargrove Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Havershaw Molecular,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Hazelmere Diagnostics,Company,Life Sciences,United States,USD,,,,,,Nadia Petrov,,,,,,,
Hemsworth Bioinstruments,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Hexworthy Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Highgrove Analytical,Company,Life Sciences,United States,USD,,,,,,James Fitzpatrick,,,,,,,
Highwater Genomics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Hollis Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Hollowbrook BioLabs,Company,Life Sciences,United States,USD,,,,,,Nadia Petrov,,,,,,,
Hollowfield Therapeutics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Hollowridge Molecular,Company,Life Sciences,United States,USD,,,,Clinical chemistry diagnostics,,,Thornfield native,,,,,,
Ingleton Diagnostics,Company,Life Sciences,United States,USD,,,,Clinical diagnostics platforms,,Reid Alderman,Inherited — Bramwell,,,,,,
Inglewood Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ipplepen Labs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ipswich Molecular,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Ironwood Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ivory Peak Biosciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ivybridge Reagent Labs,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Jarrow Cell Culture Systems,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Jasper Cellular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Jessop Bioanalytics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Kelbourne Diagnostics Reagents,Company,Life Sciences,United States,USD,,,,,,Anika Whitworth,Inherited — Bramwell,,,,,,
Kenmore Diagnostics,Company,Life Sciences,United States,USD,,,,,,Terrance Bloom,,,,,,,
Kennebec Genomics,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Kensington Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Kestrel Analytical,Company,Life Sciences,United States,USD,,,,,,Colin Ashworth,,,,,,,
Kestrel Biosciences,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Kettering Assay Labs,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Kettlewell Diagnostics,Company,Life Sciences,United States,USD,,,,Clinical diagnostics,,,Inherited — Bramwell,,,,,,
Kilbourne Genomics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Kingsford Cellular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Kingsley Molecular,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Kirdford Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Larchfield Bioanalytics,Company,Life Sciences,United States,USD,,,,Laboratory instrumentation OEM,,Anika Whitworth,Inherited — Bramwell,,,,,,
Larchmont Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Larkfield Diagnostics,Company,Life Sciences,United States,USD,,,,,,Nadia Petrov,,,,,,,
Larkspur Diagnostics,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Ledbury Cell Systems,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Lostwithiel Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Marchbank Bioinstruments,Company,Life Sciences,United States,USD,,,,,,Deirdre O'Sullivan,,,,,,,
Marchetti Advisors,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Marchmont Analytical Systems,Company,Life Sciences,United States,USD,,,,Diagnostics distribution & branded assays,,Anika Whitworth,Inherited — Bramwell,,,,,,
Marchmont Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics,,,Inherited — Bramwell,,,,,,
Marlstone Bioscience,Company,Life Sciences,United States,USD,,,,,,Meredith Halloran,Thornfield native,,,,,,
Marshgate Bioinstruments,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Marvell Cellular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Mawgan Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Merristone Molecular,Company,Life Sciences,United States,USD,,,,,,Priscilla Choi,,,,,,,
Milbrook Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Milford Bioanalytics,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Millbrook Assay Systems,Company,Life Sciences,United States,USD,,,,,,Sofia Bergen,Inherited — Bramwell,,,,,,
Newforge Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics,,,Thornfield native,,,,,,
Newlyn Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Norbury Bioimaging,Company,Life Sciences,United States,USD,,,,Bioinstrumentation (imaging),,,Inherited — Bramwell,,,,,,
Norcross Genomic Systems,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Northlake Bioinstruments,Company,Life Sciences,United States,USD,,,,,,Sofia Bergen,Inherited — Bramwell,,,,,,
Northstar Assay Systems,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Northwind Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Norvell Bioscience,Company,Life Sciences,United States,USD,,,,,,James Fitzpatrick,,,,,,,
Norwich Genomics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Norwood Analytical,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Norwood Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Oakfield Diagnostics,Company,Life Sciences,United States,USD,,,,Clinical diagnostics,,,Inherited — Bramwell,,,,,,
Oakhurst Reagent Group,Company,Life Sciences,United States,USD,,,,,,Cyrus Delacroix,Inherited — Bramwell,,,,,,
Ostley Point Diagnostics,Company,Life Sciences,United States,USD,,,,Point-of-care diagnostics,,,,,,,,,
Ottershaw Instruments,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Overstrand Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Palladium Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Palliser Diagnostics,Company,Life Sciences,United States,USD,,,,Molecular diagnostics,,,Thornfield native,,,,,,
Peartree Assay Labs,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Pendennis Labs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Pennington Cell Therapy,Company,Life Sciences,United States,USD,,,,Laboratory instrumentation (mass spec),,,Thornfield native,,,,,,
Pennywell Life Sciences,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Perrimore Instrumentation,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Petrichor Bioinstruments,Company,Life Sciences,United States,USD,,,,,,Kevin Rasmussen,,,,,,,
Petrichor Genomics,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Peverell Molecular,Company,Life Sciences,United States,USD,,,,,,James Fitzpatrick,,,,,,,
Pinnacle Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Portishead Molecular,Company,Life Sciences,United States,USD,,,,Molecular diagnostics (NGS),,,Inherited — Bramwell,,,,,,
Prendergast Bioscience,Company,Life Sciences,United States,USD,,,,,,Terrance Bloom,,,,,,,
Prescott Analytics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Prescott Bio-Analytical,Company,Life Sciences,United States,USD,,,,Bio-analytical instrumentation,,,,,,,,,
Prescott Biosystems,Company,Life Sciences,United States,USD,,,,,,Anika Whitworth,,,,,,,
Prescott Life Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Prospect Cell Systems,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Quenby Scientific Instruments,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Quenchwell Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Quilford Genomics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Quimby Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Radstock Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics,,,Thornfield native,,,,,,
Ramsden Bioanalytics,Company,Life Sciences,United States,USD,,,,Clinical diagnostics platforms,,Vanessa Trotter,Inherited — Bramwell,,,,,,
Ravencrest Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ravenscroft Bioscience,Company,Life Sciences,United States,USD,,,,,,Priscilla Choi,,,,,,,
Ravenshill Assay Group,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Redcliff Bioinstruments,Company,Life Sciences,United States,USD,,,,Molecular diagnostics (PCR panels),,Vanessa Trotter,Thornfield native,,,,,,
Redstone Analytical,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Redstone Assays,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Restronguet Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ridgeline Cellular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ridgemere Assays,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ridgemont Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Ridgemont Laboratories,Company,Life Sciences,United States,USD,,,,,,Vanessa Trotter,,,,,,,
Rothburn LabTech,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Rothwell Biotech,Company,Life Sciences,United States,USD,,,,,,Nadia Petrov,,,,,,,
Rowanleaf Labs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Rowanpine Analytical Group,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Rowe Analytics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Roxwell Molecular Labs,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Ryland Instruments,Company,Life Sciences,United States,USD,,,,,,Terrance Bloom,,,,,,,
Sagebrook Genomics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Sedgewick Bioanalytics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Sedgewick Genomics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Sedgewick Life Sciences,Company,Life Sciences,United States,USD,,,,,,Sofia Bergen,Inherited — Bramwell,,,,,,
Selwood Cell Systems,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Sennen Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Silverbrook Bioscience,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Silverridge Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics (autoimmune),,,,,,,,,
Southridge Bioinstruments,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Southwold Diagnostics,Company,Life Sciences,United States,USD,,,,,,Nadia Petrov,,,,,,,
Stanton Biosystems,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Steeplechase Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics,,,Thornfield native,,,,,,
Stellwood Reagents,Company,Life Sciences,United States,USD,,,,,,Meredith Halloran,,,,,,,
Sturbridge Analytical,Company,Life Sciences,United States,USD,,,,,,Kevin Rasmussen,,,,,,,
Tanfield Diagnostics,Company,Life Sciences,United States,USD,,,,Molecular diagnostics,,,Inherited — Bramwell,,,,,,
Tavistock Bioimaging,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Thistledown Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Thistlefield Biotech,Company,Life Sciences,United States,USD,,,,,,Terrance Bloom,,,,,,,
Thistlewood Biosystems,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Thoresby Cell Systems,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Thornbury Molecular,Company,Life Sciences,United States,USD,,,,,,Terrance Bloom,,,,,,,
Torrent Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Trebetherick Bio,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Tremaine Diagnostics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Trentham Diagnostics,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics (infectious disease),,,Inherited — Bramwell,,,,,,
Trenton Assay Solutions,Company,Life Sciences,United States,USD,,,,,,Cyrus Delacroix,,,,,,,
Trenton Labware,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Ullswater Genomics,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Upcott Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Uphill Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Vanmeer Analytical,Company,Life Sciences,United States,USD,,,,Analytical instrumentation,,,,,,,,,
Vantage Bioinstruments,Company,Life Sciences,United States,USD,,,,Laboratory instrumentation (hematology),,,Thornfield native,,,,,,
Vantage Biologics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Verdant Cell Therapeutics,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Verrick Microbiology,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Verwood Genomics,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Verwood Sciences,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Veryan Labs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Vesalius Labs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Wentworth BioLabs,Company,Life Sciences,United States,USD,,,,,,Meredith Halloran,,,,,,,
Wetherby Analytical,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Weybridge Scientific,Company,Life Sciences,United States,USD,,,,In-vitro diagnostics (immunoassay),,,Thornfield native,,,,,,
Whitcombe Reagents,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Whitepine Instruments,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Whitmarsh Cellular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Whitmore Assay Group,Company,Life Sciences,United States,USD,,,,,,,Inherited — Bramwell,,,,,,
Willowmere BioAnalytics,Company,Life Sciences,United States,USD,,,,,,Meredith Halloran,,,,,,,
Wolverton Bioimaging,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Woodmere Cellular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Wrenfield Scientific,Company,Life Sciences,United States,USD,,,,,,Priscilla Choi,Thornfield native,,,,,,
Wrenwood Reagent Systems,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Xanadu Biotech,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Yardley Labs,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
Yardley Molecular Diagnostics,Company,Life Sciences,United States,USD,,,,Molecular diagnostics,,,Thornfield native,,,,,,
Yarmouth Scientific,Company,Life Sciences,United States,USD,,,,,,,Thornfield native,,,,,,
Zenithal Molecular,Company,Life Sciences,United States,USD,,,,,,,,,,,,,
